store_page_domain,bounce_rate,total_single_page_viewers,total_visits
carrabbas.com,1.0,1,1
tryecignow.com,1.0,1,1
docucopies.com,1.0,1,1
photocenter.youtube.com,1.0,1,1
aeaerie.com,1.0,1,1
newfromnature.com,1.0,1,1
topnotchgiftshop.com,1.0,1,1
mathnkids.com,1.0,1,1
store.sansdigital-shop.com,0.0,0,3
timewarnercable.com?utm_source=rss&utm_medium=tag,1.0,1,1
opticsplanet.net,1.0,1,1
souplantation.com,0.6923076923076923,9,13
site.jcbling.com,1.0,1,1
lostgolfballs.com,1.0,4,4
duraceldirect.com,1.0,1,1
blogs.http://neillaneengagementrings.info,1.0,1,1
myradiostore.com,1.0,1,1
wyahoo.com,1.0,1,1
admob.com,1.0,3,3
toadsandtulips.com,1.0,1,1
nt-toolshop.com,1.0,1,1
quiksilver.com,1.0,8,8
beautyencounter.com,1.0,1,1
tracfone.com,1.0,85,85
jmbart.com,1.0,1,1
coveryourhair.com,1.0,1,1
linens4you.com,1.0,1,1
gifts.com,1.0,1,1
ocedar.com,1.0,2,2
shop.siriusxm.com,1.0,4,4
mountaingear.com,1.0,5,5
cbssports.com,1.0,2,2
tazachocolate.com,1.0,1,1
everystuffedanimal.com,1.0,3,3
masongadgetshop.com,1.0,1,1
sccis.com,1.0,2,2
happymeal.fr,1.0,1,1
sholiveoil.com,1.0,2,2
medermaforkids.com,1.0,1,1
xpango.com,1.0,1,1
bttrventures.com,1.0,1,1
snorgtees.com,1.0,3,3
eurosport.com,0.6666666666666666,4,6
btslingerie.com,1.0,1,1
outdoorfurnituregallery.com,1.0,1,1
gsdowncomforters.com,1.0,1,1
marykay.com,1.0,3,3
cropmom.com,1.0,2,2
naturalbalanceinc.com?utm_source=rss&utm_medium=tag,1.0,1,1
beallstx.com?utm_source=rss&utm_medium=tag,1.0,1,1
lionscopetproducs.com,1.0,1,1
finestknownstore.com,1.0,1,1
mommyslittlemonkey.com,1.0,1,1
viviscal.com,1.0,1,1
cutesygirl.com.com,1.0,1,1
sierratradingpost.com,1.0,46,46
amtrakcouponcodes.com,1.0,1,1
gentopress.com,1.0,1,1
hobbywarehouse.com,0.5,2,4
insound.com,1.0,2,2
sweetolivia.com,1.0,1,1
fionascloset.com,1.0,1,1
optionsxpress.com,1.0,1,1
smithmicro.com,1.0,1,1
veinbmx.com,0.3333333333333333,1,3
rockyboots.com,1.0,3,3
horsepowerfreaks.com,1.0,1,1
missy-j.com,1.0,1,1
marymaxim.ca,1.0,2,2
healthykin.com,1.0,1,1
gametap.com,1.0,1,1
jcp.combbcurr8c,1.0,1,1
avengedsevenfold.com,1.0,2,2
ftd.com,0.92,23,25
popcornfactory.com?utm_source=rss&utm_medium=tag,1.0,1,1
e.gcineplex.com,1.0,1,1
amazon.com?utm_source=rss&utm_medium=merchant,1.0,1,1
chicagotribune.com,1.0,2,2
quiznos.com?utm_source=newsletter&utm_medium=2011_09_20&utm_campaign=1,1.0,1,1
flicker90.com,1.0,1,1
http://www.im.tv/blog/3420879,1.0,1,1
evhost.ca,1.0,1,1
pamperedchef.com,1.0,3,3
bestpricenutrition.com,1.0,2,2
flavourart.it,1.0,1,1
ige.com,1.0,2,2
macpaw.com,1.0,1,1
eleganthorsepictures.com,1.0,1,1
jcomputech.net,1.0,1,1
fragrancex.xom,1.0,1,1
glasstileoasis.com,1.0,1,1
flipkart.com,1.0,3,3
j.jill.com,1.0,1,1
astrogaming.com,1.0,1,1
wards.com,1.0,2,2
superdiscounttoys.com,1.0,1,1
jamesavery.com?utm_source=rss&utm_medium=merchant,1.0,1,1
mommiesshadow.com,1.0,1,1
fwdhome.com,1.0,1,1
statravel.com,1.0,3,3
gravis.de,1.0,1,1
leisurefitness.com,1.0,2,2
naturessheabutter.com,1.0,2,2
justformenselect.com?utm_source=rss&utm_medium=merchant,1.0,1,1
etrailer.com,1.0,2,2
jessicalang.com,1.0,1,1
gaming.somethin4nothin.com,1.0,1,1
k9cuisine.com,1.0,2,2
eksuccessbrands.com,1.0,2,2
dribamboo.com,1.0,1,1
javascriptenlightenment.com,1.0,2,2
comprafacil.com,1.0,1,1
topoftherocknyc.com,1.0,1,1
otterbox.com,1.0,15,15
duracelldirect.com,1.0,2,2
yesvideo.com,1.0,2,2
fitinclouds.com,1.0,1,1
popshops.com,1.0,1,1
faganarms.com,1.0,1,1
sunglassesitaly.com,1.0,1,1
moneyshotpills.com,1.0,1,1
cerid.org,1.0,1,1
redbox-ecigs.com,1.0,1,1
softclothbunz.com?utm_source=rss&utm_medium=tag,1.0,1,1
blogs.socialendorsements.com,1.0,1,1
animecornerstore.com,1.0,2,2
logler.com,1.0,1,1
babyphat.com?fb_xd_fragment#?=&cb=f37828e99eaefc&relation=parent&transport=fragment&frame=f10d5cc61e34313,1.0,1,1
mmokings.com,1.0,1,1
myb4a.com,1.0,1,1
macmall.com,1.0,5,5
aircanada.com,0.9090909090909091,20,22
gifts2thedoor.co.uk,1.0,1,1
naturemakeup.com,1.0,1,1
jarscr.com,1.0,2,2
intimateappeeal.com,1.0,1,1
apress.com?utm_source=rss&utm_medium=tag,1.0,1,1
wristbandexpress.com,1.0,1,1
thebluestarbazaar.com,1.0,2,2
giltycouture.com,1.0,1,1
rubios.com,1.0,4,4
baxterboo.com,1.0,3,3
bertolli.us?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Bnaff,1.0,1,1
thehomemarketplace.com,1.0,1,1
kogan.com.au,0.6666666666666666,4,6
easycap.sk,1.0,1,1
bonobos.com?utm_source=rss&utm_medium=tag,1.0,1,1
b-seenapparel.com,1.0,1,1
mobiletutor.org,1.0,1,1
dillards.com,0.225,18,80
staceylaurenphotography.printroom.com,1.0,1,1
nobelcom.com?gclid=CLzTj6vGr6sCFcNM4Aod0z0IKQ&ef_id=jeBOenrfInEAAIRy:20110922000135:s,1.0,1,1
protherapysupplies.com,1.0,2,2
performancebike.com,0.8333333333333334,15,18
discmakers.com,1.0,1,1
irancell.ir,1.0,1,1
eureka.com,1.0,4,4
glamourmom.com,1.0,1,1
barts.com,1.0,1,1
stelladot.com,1.0,1,1
kulttours.com,1.0,1,1
watsonadventures.com,1.0,2,2
lubasgiftshop.com,1.0,1,1
enasco.com,1.0,1,1
fatbraintoys.com,1.0,5,5
verabradley.com?utm_source=extension&utm_medium=firefox,1.0,1,1
webeyecare.com,1.0,5,5
pbmeter.com,1.0,1,1
uniformstowork.com,1.0,1,1
foxiting.com,1.0,1,1
giftideas.co.uk,1.0,1,1
linboo.com,1.0,1,1
mindgametheplay.com,1.0,1,1
afterglowcosmetics.com,1.0,1,1
interstatebatteries.com,1.0,1,1
habitat.co.uk,1.0,2,2
loft.com,0.9534883720930233,41,43
doctorgrandmas.com,1.0,1,1
shop.zapak.com,1.0,1,1
orchardsupplyhardware.com,1.0,5,5
tutor.com,1.0,1,1
petuniapicklebottom.com,1.0,3,3
gravitypope.com,1.0,1,1
bose.com?utm_source=rss&utm_medium=tag,1.0,1,1
railriders.com,1.0,1,1
pearl.de,1.0,1,1
simplyplatformbeds.com,1.0,1,1
maternalove.com,1.0,2,2
sjk.com,1.0,1,1
domotronix-ltd.com,1.0,1,1
calelectroinc.com,1.0,1,1
onestepahead.com,1.0,20,20
awesomebreasts.com,1.0,1,1
battenburglace.com,1.0,1,1
31bits.com,1.0,1,1
gets.cn,1.0,1,1
myaccount.austinautoglassrepair.info,1.0,1,1
extremely-sharp.com,1.0,2,2
simplytoimpress.com,1.0,2,2
madewithmolecules.spreadshirt.com,1.0,1,1
barristerbooks.com,1.0,2,2
e-cigs.co.uk,1.0,1,1
store.taylorswift.com,1.0,1,1
hulu.com,1.0,16,16
wordans.com?utm_source=rss&utm_medium=tag,1.0,1,1
toolrage.com,1.0,1,1
twloha.freeshipping.zambooie.com,1.0,1,1
eco-swag.com,1.0,1,1
miraclenoodle.com?utm_source=rss&utm_medium=tag,1.0,1,1
jcsurveillance.com,1.0,1,1
biglots.com,1.0,5,5
misselfridge.com,1.0,1,1
viarail.com,1.0,1,1
blisscomputers.net,1.0,2,2
familylife.com?utm_source=rss&utm_medium=merchant,1.0,1,1
goodchoiceflowers.com,1.0,1,1
dupsies.com,1.0,1,1
gaatave.andrinda.net/,1.0,1,1
finegardenproducts.com,1.0,1,1
defshop.de,1.0,1,1
fitnessanywhere.com,1.0,1,1
marketday.com,1.0,4,4
cellware.com,1.0,1,1
devilsfilm.com,1.0,1,1
ndavonlady.com,1.0,1,1
parking.com,1.0,2,2
teavana.com,1.0,10,10
jcp.com,1.0,12,12
forver21.com,1.0,1,1
efellemedia.com,1.0,1,1
totalhockey.net?utm_source=rss&utm_medium=tag,1.0,1,1
shoostore.com,1.0,1,1
jessicaswedding.com,1.0,1,1
extremepitasandiego.com,1.0,1,1
shakespearetheatre.org,1.0,1,1
earloomz.com,1.0,1,1
shop.yosisamra.com,1.0,1,1
galehayman.com,1.0,1,1
dww.at,1.0,1,1
skinmedix.com,1.0,2,2
amerimark.com?utm_source=rss&utm_medium=merchant,1.0,1,1
anysunglasses.com,1.0,2,2
xenonservers.com,1.0,1,1
cutesygirl.com,1.0,3,3
fanzz.com,1.0,2,2
www1.buyoffice.microsoft.com,1.0,1,1
lucableu.com,1.0,1,1
duinoordschool.nl,1.0,1,1
aeropostale.com?utm_source=email&utm_medium=alert,1.0,2,2
cocoapod.etsy.com,1.0,1,1
park2peak.com,1.0,2,2
i-luv.com,1.0,2,2
cannabis-seeds-bank.co.uk,1.0,4,4
citiwide-online.com,1.0,2,2
montereybayaquarium.org,0.3333333333333333,1,3
leathersandals.com,1.0,1,1
korresusa.com,1.0,1,1
sundayafternoons.com,1.0,2,2
rotr.com,1.0,1,1
tripadvisor.com,1.0,1,1
helpdesk.the-house.com,1.0,1,1
inkpal.com,1.0,1,1
mariedeneen.com,1.0,1,1
promgirl.net,1.0,3,3
iweb.com,1.0,1,1
skinid.com,0.8571428571428571,12,14
alicesupplyco.com,1.0,1,1
shop.countdown.co.nz,1.0,3,3
rubbermaid.com?utm_source=rss&utm_medium=merchant,1.0,1,1
mypersonalizedring.com,1.0,1,1
hearthsong.com,1.0,1,1
rvinyl.com,1.0,1,1
shoedazzle.com,1.0,12,12
domyownpestcontrol.com,0.7142857142857143,5,7
creativelyjeweled.com,1.0,1,1
spartan-shop.com,1.0,1,1
steelers.com,1.0,1,1
lampsusa.com,1.0,3,3
http://www.rose-articles.net?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Baff,1.0,1,1
4checks.com,1.0,4,4
rachaeluk.yourpassionconsultant.com,1.0,1,1
designaglow.com,1.0,1,1
renttherunway.com,1.0,6,6
bambibaby.com,1.0,1,1
itunes.christmaslightstoday.com,1.0,1,1
toesox.com,1.0,1,1
enjoytheriderewards.com,1.0,2,2
hotshopping.com,1.0,1,1
snswwide.com,1.0,1,1
johnthelegend.http://sieuthibanhangtructuyen.com,1.0,1,1
sitbetter.com,1.0,1,1
outmotoring.com,1.0,1,1
ohcheri.com,1.0,1,1
goldenhatbingo.com,1.0,1,1
cuddledown.com?utm_source=rss&utm_medium=merchant,1.0,1,1
obeyclothing.com?utm_source=rss&utm_medium=tag,1.0,1,1
allposters.com,1.0,28,28
portraitprofessional.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Bnaff,1.0,1,1
academy.com,1.0,11,11
sitincomfort.com,1.0,1,1
grandmasgiftware.com,1.0,1,1
bigalsonline.com,1.0,3,3
ebay.in,1.0,9,9
catchingfireflies.com,1.0,1,1
hamptonpopcorn.com,1.0,1,1
gucci.com?utm_source=rss&utm_medium=tag,1.0,1,1
mcmurrayhatchery.com,1.0,2,2
lawdepot.com?utm_source=rss&utm_medium=merchant,1.0,1,1
smithsonianstore.com,1.0,1,1
patboonemeats.com,0.0,0,8
ghqonline.com,1.0,1,1
frontrangeanglers.com,1.0,1,1
ashford.com,1.0,2,2
aweber.com,1.0,1,1
openwrestling.com,1.0,1,1
bergners.com,0.0,0,9
templatemonster.com,1.0,3,3
cheapfastfun.com,1.0,1,1
knobs4less.com,1.0,2,2
laithwaites.co.debvoucher,1.0,1,1
volaris.com?utm_source=rss&utm_medium=tag,1.0,1,1
halloweenexpress.com,0.875,14,16
niecynotes.com?utm_source=extension&utm_medium=firefox,1.0,2,2
gronasens.com,1.0,1,1
archipelago-usa.com,1.0,1,1
stuff4sprouts.com,1.0,2,2
sonos.com,1.0,1,1
officefurniture.com,1.0,2,2
1saleaday.com?utm_source=rss&utm_medium=merchant,1.0,1,1
sperrytopsider.com,1.0,15,15
gumshoe.com,1.0,1,1
libidia.com,1.0,1,1
boaterexam.com,1.0,2,2
madametussauds.com,1.0,1,1
charlieandlee.com?utm_source=rss&utm_medium=merchant,1.0,1,1
oakleysign.com,1.0,1,1
onestopplus.com,0.84,21,25
cintiolimusiconline.com,1.0,1,1
houlihans.com?utm_source=rss&utm_medium=tag,1.0,1,1
doctorsplash.com,1.0,1,1
darttree.com,1.0,1,1
mossmuscle.com,1.0,1,1
softsurroundingsoutlet.com,1.0,2,2
teeshirtsrock.com,1.0,2,2
texaschicksblogsandpics.com,1.0,1,1
thesavannah.com,1.0,2,2
carcaremegastore.com,1.0,1,1
cuisinartwebstore.com,1.0,1,1
buyitnow64.stores.yahoo.net?utm_source=rss&utm_medium=tag,1.0,1,1
justmemusic.com,1.0,2,2
tribalectic.com,1.0,1,1
dhccare.com?utm_source=rss&utm_medium=tag,1.0,1,1
nashvillewraps.com?utm_source=rss&utm_medium=merchant,1.0,1,1
downbound.com,1.0,1,1
netaporta.com,1.0,1,1
safeeyes.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Bnaff,1.0,1,1
alohashirtshop.com,1.0,1,1
everydayminerals.com,1.0,2,2
firmdirect.com,1.0,1,1
qmedia.by,1.0,1,1
sybaris.com,1.0,7,7
muji.us,1.0,2,2
skicenter.com,1.0,2,2
empiretoday.com?utm_source=rss&utm_medium=tag,1.0,1,1
cedarpoint.com,1.0,4,4
vmware.com,1.0,18,18
zipzoomfly.com,1.0,2,2
geardiary.com,1.0,1,1
craniumfitteds.com?pagewanted=all,1.0,1,1
mgellerdiamonds.com,1.0,1,1
http://insidecheater.com/lmfao-sorry-for-the-party-rocking-deluxe-edition,1.0,1,1
thecheesecakefactory.com,1.0,4,4
myaccount.bamper-ford.avtosklad.net,1.0,1,1
trinityairsoft.com,1.0,1,1
ebooks.com,0.0,0,4
myhosting.com,1.0,2,2
usseryprinting.com,1.0,1,1
redmangousa.com,1.0,1,1
nutrieuropa.com,1.0,1,1
animoto.com,1.0,2,2
campusbookrentals.com,1.0,8,8
ehi.com,1.0,1,1
goaliemonkey.com,1.0,1,1
houseoffraser.co.uk,1.0,1,1
thezestydesk.etsy.com,1.0,1,1
homeindia.com,1.0,1,1
budk.com,1.0,10,10
t35.com,1.0,2,2
goodmantheatre.org,1.0,2,2
cabletiesandmore.com,1.0,3,3
asportsclub.com,1.0,1,1
gemvara.com,1.0,1,1
greetingcardsondemand.com,1.0,1,1
olay.com,1.0,4,4
dallairest-bruno.com,1.0,1,1
quikbook.com,1.0,2,2
contactfill.com,1.0,1,1
eltorito.com?utm_source%3Drss%26utm_medium%3Dtag,1.0,1,1
discountcosmeticoutlet.com,1.0,1,1
sainsburys.co.uk,1.0,1,1
goodbazaar.co.uk,1.0,1,1
overstock.com?utm_source=newsletter&utm_medium=2011_05_03,1.0,1,1
eastbay.com,0.9387755102040817,92,98
mamanista.com,1.0,1,1
toontowncentral.com?utm_source=rss&utm_medium=tag,1.0,1,1
circlelens.net,1.0,2,2
granadatheater.com,1.0,1,1
depend.com,1.0,3,3
topbrasiltur.com.br,1.0,1,1
img131.http://www.im.tv/blog/3420879,1.0,1,1
goodhomestore.com,1.0,2,2
dynamicleather.com,1.0,1,1
midwestapplianceparts.com,1.0,1,1
vat19.com?utm_source=rss&utm_medium=merchant,1.0,1,1
mygroupons.com,1.0,2,2
cubancrafters.com,1.0,1,1
rockytopleather.com,1.0,3,3
rinovelty.com,1.0,10,10
teamcheer.com?utm_source=rss&utm_medium=tag,1.0,1,1
justblinds.com&nbsp;&,1.0,1,1
phatperformanceparts.com,1.0,1,1
styleamerica.com,1.0,1,1
goibibo.ibibo.com,1.0,1,1
loehmanns.com,1.0,3,3
misstran.com,1.0,1,1
sabonnyc.com,1.0,2,2
focusmygoal.com,1.0,1,1
mobilejoker.de,1.0,1,1
canineforuse.se,1.0,1,1
anntaylor.com,0.9428571428571428,33,35
patchi.us,1.0,2,2
justvanities.com,1.0,1,1
clarionhotel.com,1.0,2,2
omnigroup.com,1.0,4,4
jewelboxboutique.com,1.0,1,1
haloheaven.com,1.0,2,2
discountelectronics.com,1.0,1,1
loverocksny.com,1.0,1,1
glovediamond.com,1.0,1,1
improvementscatalog.com,0.6666666666666666,4,6
buyz.com,1.0,1,1
vistaprint.co.uk,1.0,1,1
collarfactory.com,1.0,2,2
brainbench.com,1.0,1,1
lilash.com,0.0,0,9
pssl.com,1.0,1,1
dymocks.com.au,1.0,4,4
bigheadcaps.com,1.0,3,3
checkpoints.com,1.0,2,2
bluelounge.com?utm_source=rss&utm_medium=merchant,1.0,1,1
yummy.com,1.0,2,2
adobe.com?utm_source=google&utm_medium=cpc&kw=adobe%20promotion%20code&campaign=s_adobe&adgroup=Promo&creativeid=4014874523&site=&type=Search&gclid=CJTp4JLRr6sCFUqK4AodmTkycQ,1.0,1,1
homecldwatercreek.com,1.0,1,1
mommytags.com,1.0,1,1
anneklein.com,0.3333333333333333,1,3
blablaland.com,1.0,1,1
gentlemens-shop.com,1.0,1,1
magickidsusa.com,1.0,1,1
sublimestitching.com,1.0,1,1
innovate100.com,1.0,1,1
scentsy.net?utm_source=rss&utm_medium=tag,1.0,1,1
ccs.com,1.0,12,12
rockymountainsoap.com,1.0,1,1
tuneupmedia.com,1.0,3,3
printscharmingphotography.com?_=1316649917523,1.0,1,1
s33.weeklygossips.blogspot.com,1.0,1,1
heavensgatehomeandgarden.com,1.0,1,1
dominos.com?vm=r,1.0,1,1
swimsuitsforall.com?utm_source=rss&utm_medium=tag,1.0,1,1
baskinrobins.com,1.0,1,1
hostexcellence.com,1.0,1,1
lightinthebox.com,1.0,6,6
victoriassecret.com?fb_xd_fragment,0.14285714285714285,1,7
airagestore.com,1.0,1,1
sonlight.com?utm_source=rss&utm_medium=merchant,1.0,1,1
live.fr,1.0,1,1
quickcandles.com,1.0,6,6
loftoutlet.com,1.0,10,10
createapendant.com,1.0,1,1
ichirorestaurant.com,1.0,1,1
toshibadirect.com,1.0,5,5
sandiegozoo.org,0.8461538461538461,11,13
e-junkie.com?utm_source=rss&utm_medium=merchant,1.0,1,1
ninashoes.com?utm_source=rss&utm_medium=merchant,1.0,1,1
bottleyourbrand.com,1.0,2,2
apc.com?utm_source=rss&utm_medium=tag,1.0,1,1
regis.com,1.0,1,1
sportsunlimitedinc.com,1.0,4,4
snapbackhats.com.au,1.0,1,1
http://insidecheater.com/pitbull-planet-pit-deluxe-edition,1.0,1,1
bestofvegas.com,1.0,2,2
leelush.com,1.0,1,1
crazydogshirts.com,1.0,2,2
keetsa.com,1.0,1,1
saltlakemotorsports.com,1.0,1,1
mamabargins.com,1.0,2,2
1800baskets.com?utm_source=rss&utm_medium=tag,1.0,1,1
easylunchboxes.com,1.0,1,1
dinovite.com,0.5,2,4
